Station,lat,lon
1号线人民广场,31.23473089,121.4703283
2号线人民广场,31.23505793,121.4686219
8号线人民广场,31.23455118,121.470825
8号线大世界,31.2291468,121.4749289
1号线黄陂南路,31.2249337,121.4693495
1号线常熟路,31.21538105,121.4445367
7号线常熟路,31.2151666,121.4464856
10号线上海图书馆,31.2100122,121.4396546
2号线上海科技馆,31.2218914,121.5386617
9号线杨高中路,31.2295266,121.5440549
2号线静安寺,31.2252923,121.4421389
7号线静安寺,31.22492316,121.4439184
